,News Agency,Tweets Ago,Date,Compound,Positive,Neutral,Negative,Tweet
31,@BBCNews,32,Sat Mar 31 11:55:53 +0000 2018,0.34,0.107,0.0,0.893,"RT @BBCPaulAdams: UK confirms Russian plane was searched at Heathrow yesterday. Security Minister Ben Wallace: ""It is routine for Border Fo…"
32,@BBCNews,33,Sat Mar 31 11:15:43 +0000 2018,0.0,0.0,0.0,1.0,Russian spy: UK considers request to visit Yulia Skripal https://t.co/8KzXGEbfLj
33,@BBCNews,34,Sat Mar 31 11:03:57 +0000 2018,0.0,0.0,0.0,1.0,What to expect from Saturday Night Takeaway as Dec hosts without Ant https://t.co/xkWPwyu7Ju
34,@BBCNews,35,Sat Mar 31 10:13:13 +0000 2018,-0.6412,0.077,0.285,0.638,RT @BBCBreaking: Russia more than doubles number of UK diplomats expelled in spy poisoning row https://t.co/oGWaFQPLcW
35,@BBCNews,36,Sat Mar 31 10:02:05 +0000 2018,0.93,0.58,0.0,0.42,RT @bbcthree: The amazing deaf dancer sharing his love and passion with others https://t.co/LdHnu8Fmct
36,@BBCNews,37,Sat Mar 31 09:50:44 +0000 2018,-0.3182,0.0,0.113,0.887,"RT @BBCSport: Ray Wilkins' family are in our thoughts today.

He is in a critical condition in a London hospital.

https://t.co/SxsiCdakSo…"
37,@BBCNews,38,Sat Mar 31 09:50:13 +0000 2018,0.0,0.0,0.0,1.0,RT @bbcweather: Here's the latest rain/snow picture. Helen https://t.co/KY6ahMOBCr
38,@BBCNews,39,Sat Mar 31 09:45:11 +0000 2018,-0.3182,0.251,0.389,0.359,"RT @BBCWorld: Hate food waste, love beer? 🍞🍻 https://t.co/PVeDQIkm03"
39,@BBCNews,40,Sat Mar 31 09:34:38 +0000 2018,0.4019,0.231,0.0,0.769,Esther McVey: Saturday jobs help teenagers prepare for work https://t.co/ZdtW7SE0Ym
40,@BBCNews,41,Sat Mar 31 09:32:17 +0000 2018,0.2263,0.112,0.0,0.888,RT @BBCNewsNE: These lambs at @WhitehouseFarm have been knitted jumpers to keep warm 😍🐑 #HappyEaster https://t.co/Hf4dFf3wEi
41,@BBCNews,42,Sat Mar 31 08:58:26 +0000 2018,-0.4653,0.0,0.149,0.851,"RT @BBCSport: David Warner has said he is ""resigned to the fact"" he may never play for Australia again after his part in the ball-tampering…"
42,@BBCNews,43,Sat Mar 31 07:58:48 +0000 2018,0.0,0.0,0.0,1.0,Alan Sugar urged to 'delete' Corbyn Hitler tweet https://t.co/ZskUn4NOjJ
43,@BBCNews,44,Sat Mar 31 07:27:00 +0000 2018,-0.296,0.0,0.216,0.784,RT @BBCWorld: The graveyard of VW cars... ⚰️ https://t.co/EE9Kw1y1xP
44,@BBCNews,45,Sat Mar 31 04:46:29 +0000 2018,-0.7096,0.0,0.541,0.459,Schools cutting posts amid 'funding catastrophe' https://t.co/h6ZO7aL1u9
45,@BBCNews,46,Sat Mar 31 03:44:03 +0000 2018,-0.6249,0.0,0.313,0.687,Met Police chief: Social media leads children to violence https://t.co/Fida2XJIeP
46,@BBCNews,47,Sat Mar 31 03:22:18 +0000 2018,0.0,0.0,0.0,1.0,Stansted Airport: Flights to resume after cancellations https://t.co/rF0mxwcD0v
47,@BBCNews,48,Sat Mar 31 01:18:01 +0000 2018,-0.3182,0.0,0.223,0.777,Islamic State 'Beatles' duo: Loss of citizenship 'illegal' https://t.co/bH2fgAMP9T
48,@BBCNews,49,Sat Mar 31 00:06:21 +0000 2018,0.0,0.0,0.0,1.0,Paramedics set to prescribe medicines https://t.co/z4OvUlIAYF
49,@BBCNews,50,Fri Mar 30 23:38:41 +0000 2018,-0.3612,0.0,0.238,0.762,Prof Stephen Hawking Cambridge funeral to take place https://t.co/hqEWEpPFsz
50,@BBCNews,51,Fri Mar 30 23:33:28 +0000 2018,-0.3182,0.0,0.187,0.813,Ray Wilkins: Ex-England captain in critical condition in London hospital https://t.co/pNSHes4sTb
51,@BBCNews,52,Fri Mar 30 23:07:07 +0000 2018,-0.765,0.0,0.524,0.476,Man arrested over fatal stabbing in Birkenhead https://t.co/EHCpcnobfJ
52,@BBCNews,53,Fri Mar 30 21:10:22 +0000 2018,-0.2023,0.185,0.25,0.565,Five arrested after huge drugs haul in Dromore https://t.co/xrJnPpqPL3
53,@BBCNews,54,Fri Mar 30 21:10:20 +0000 2018,-0.1027,0.0,0.149,0.851,Premier League to warn clubs about 'anti-extremist' group https://t.co/JyW8DoIy0l
54,@BBCNews,55,Fri Mar 30 18:17:52 +0000 2018,-0.34,0.0,0.255,0.745,Black Mamba warning after seven Birmingham deaths https://t.co/6SmpDsuB6a
55,@BBCNews,56,Fri Mar 30 17:17:35 +0000 2018,-0.7906,0.0,0.538,0.462,UK soldier killed in Syria fighting IS https://t.co/3zCpLYTcPN
56,@BBCNews,57,Fri Mar 30 17:01:59 +0000 2018,0.0,0.0,0.0,1.0,"Revise seven hours a day over Easter, says education expert https://t.co/ZXMcvIjR9x"
57,@BBCNews,58,Fri Mar 30 16:34:53 +0000 2018,-0.25,0.237,0.325,0.439,Legal aid: Barristers to strike over 'relentless cuts' https://t.co/zEXNfDynMk
58,@BBCNews,59,Fri Mar 30 16:16:24 +0000 2018,-0.34,0.0,0.286,0.714,Stansted Airport fire forces terminal evacuation https://t.co/oNBHviigkf
59,@BBCNews,60,Fri Mar 30 15:39:50 +0000 2018,-0.7783,0.0,0.405,0.595,RT @BBCWorld: Vatican: Pope did not say there is no hell https://t.co/k9htWRJoNF
60,@BBCNews,61,Fri Mar 30 15:39:39 +0000 2018,-0.5994,0.0,0.308,0.692,RT @BBCNorthAmerica: Terrifying moment Ohio cop is dragged by drug suspect's car https://t.co/hQ8Gg4fS27
61,@BBCNews,62,Fri Mar 30 14:35:28 +0000 2018,-0.6124,0.0,0.385,0.615,Ofsted school hijab ban stance challenged by teachers' union https://t.co/5QObQmXuqd
62,@BBCNews,63,Fri Mar 30 13:22:12 +0000 2018,-0.1027,0.18,0.22,0.6,Katherine Brewster missing from Brazil meditation retreat https://t.co/bbP7Prt8bn
63,@BBCNews,64,Fri Mar 30 13:12:14 +0000 2018,0.4404,0.293,0.0,0.707,Corbyn: Labour must do better on anti-Semitism https://t.co/raYxYKscPU
64,@BBCNews,65,Fri Mar 30 12:29:47 +0000 2018,0.0,0.0,0.0,1.0,RT @BBCNewsEnts: Fans were moved by #TheRealFullMontyLadiesNight as @vicderbyshire @wonderwomanshel @NolanColeen and more bared all for bre…
65,@BBCNews,66,Fri Mar 30 12:22:16 +0000 2018,0.5598,0.184,0.0,0.816,RT @BBCBusiness: How did flip-flops become so popular? @bbcaaron reveals all about this #milliondollaridea for #TalkingBusiness https://t.c…
66,@BBCNews,67,Fri Mar 30 12:19:36 +0000 2018,0.5719,0.402,0.0,0.598,Final wish granted as dog visits dying owner https://t.co/dOYPmuRPNn
67,@BBCNews,68,Fri Mar 30 12:15:31 +0000 2018,0.0,0.0,0.0,1.0,RT @BBCPolitics: To mark one year to go until #Brexit day we put our #Brexitcast podcast on the telly! One 18 year old Brexitcaster asked u…
68,@BBCNews,69,Fri Mar 30 12:07:11 +0000 2018,0.0,0.0,0.0,1.0,Heartbeat actor Bill Maynard dies at 89 https://t.co/BMeMLwjPpV
69,@BBCNews,70,Fri Mar 30 10:54:23 +0000 2018,-0.7184,0.0,0.269,0.731,"RT @BBCScotlandNews: Hill walkers this Easter weekend have been urged to avoid stressing deer, who may have been weakened by the prolonged…"
70,@BBCNews,71,Fri Mar 30 10:38:34 +0000 2018,0.0,0.0,0.0,1.0,RT @BBCWorld: Cathay Pacific ends skirts-only rule for female staff https://t.co/3PTcts8skV
71,@BBCNews,72,Fri Mar 30 10:04:37 +0000 2018,0.0,0.0,0.0,1.0,GKN takeover concerns to be assessed by government https://t.co/xT1LuoZkWR
72,@BBCNews,73,Fri Mar 30 09:52:28 +0000 2018,-0.7707,0.0,0.606,0.394,Manchester attack fire crews 'should not apologise' https://t.co/fI8T0NDRDT
73,@BBCNews,74,Fri Mar 30 09:49:43 +0000 2018,-0.6597,0.0,0.268,0.732,The Real Full Monty: 'Empowering' stars bare all for breast cancer awareness https://t.co/no3zBwB0uM
74,@BBCNews,75,Fri Mar 30 09:32:40 +0000 2018,0.0,0.0,0.0,1.0,"Motorway petrol prices 'exploitative', says Chris Grayling https://t.co/EikzKupliF"
75,@BBCNews,76,Fri Mar 30 08:45:16 +0000 2018,-0.6908,0.0,0.439,0.561,Rugby rape trial juror's comments investigated https://t.co/entrSYuz3G
76,@BBCNews,77,Fri Mar 30 08:42:53 +0000 2018,0.34,0.231,0.0,0.769,Delays at Dover after heightened French border security https://t.co/arKvSQIYJ8
77,@BBCNews,78,Fri Mar 30 07:45:39 +0000 2018,-0.2732,0.0,0.231,0.769,New £30m fund to cut rough sleepers https://t.co/QB6X8nJDPJ
78,@BBCNews,79,Fri Mar 30 07:06:30 +0000 2018,-0.3182,0.0,0.161,0.839,New Zealand v England: Jonny Bairstow hits unbeaten 97 as batsmen struggle again https://t.co/Oz854szfBN
79,@BBCNews,80,Fri Mar 30 04:45:01 +0000 2018,-0.5423,0.0,0.158,0.842,RT @BBCNewsAsia: Just in case you missed this epic story of how a camera lost at sea for more than two years was discovered on a Taiwan bea…
